Provence,number,year,GDP
广东,second_num,1991,782.6699829
广东,third_num,1991,694.6300049
广东,tGDP,1991,1893.300049
吉林,first_num,1991,120.4700012
吉林,second_num,1991,203.0200043
吉林,third_num,1991,139.9799957
吉林,tGDP,1991,463.4700012
河北,first_num,1991,236.8899994
河北,second_num,1991,459.9100037
河北,third_num,1991,375.269989
河北,tGDP,1991,1072.069946
湖北,first_num,1991,279.2999878
湖北,second_num,1991,359.8599854
湖北,third_num,1991,274.2200012
湖北,tGDP,1991,913.3800049
贵州,first_num,1991,115.7099991
贵州,second_num,1991,101.5400009
贵州,third_num,1991,78.65000153
贵州,tGDP,1991,295.8999939
山东,first_num,1991,521.8499756
山东,second_num,1991,745.9000244
山东,third_num,1991,542.789978
山东,tGDP,1991,1810.540039
江西,first_num,1991,183.2700043
江西,second_num,1991,154.7700043
江西,third_num,1991,141.3300018
江西,tGDP,1991,479.3699951
河南,first_num,1991,334.6099854
河南,second_num,1991,388.0899963
河南,third_num,1991,323.0299988
河南,tGDP,1991,1045.72998
辽宁,first_num,1991,180.8000031
辽宁,second_num,1991,590.0999756
辽宁,third_num,1991,429.2000122
辽宁,tGDP,1991,1200.099976
山西,first_num,1991,68.76999664
山西,second_num,1991,236.2799988
山西,third_num,1991,163.4600067
山西,tGDP,1991,468.5100098
安徽,first_num,1991,190.5
安徽,second_num,1991,280.2999878
安徽,third_num,1991,192.8000031
安徽,tGDP,1991,663.5999756
福建,first_num,1991,168.6399994
福建,second_num,1991,217.7400055
福建,third_num,1991,233.4900055
福建,tGDP,1991,619.8699951
浙江,first_num,1991,245.2200012
浙江,second_num,1991,494.1099854
浙江,third_num,1991,350
浙江,tGDP,1991,1089.329956
江苏,first_num,1991,345.1400146
江苏,second_num,1991,793.9199829
江苏,third_num,1991,462.3200073
江苏,tGDP,1991,1601.380005
重庆,first_num,1991,109.4899979
重庆,second_num,1991,130.8800049
重庆,third_num,1991,101.1800003
重庆,tGDP,1991,374.1799927
宁夏,first_num,1991,17.89999962
宁夏,second_num,1991,27.77000046
宁夏,third_num,1991,26.10000038
宁夏,tGDP,1991,71.77999878
海南,first_num,1991,49.79999924
海南,second_num,1991,24.70999908
海南,third_num,1991,46.00999832
海南,tGDP,1991,120.5199966
台湾,first_num,1991,0
台湾,second_num,1991,0
台湾,third_num,1991,0
台湾,tGDP,1991,0
北京,first_num,1991,45.52000046
北京,second_num,1991,291.5299988
北京,third_num,1991,261.8399963
北京,tGDP,1991,598.9000244
天津,first_num,1991,29.26000023
天津,second_num,1991,196.6000061
天津,third_num,1991,116.7900009
天津,tGDP,1991,342.75
上海,first_num,1991,34.06000137
上海,second_num,1991,550.6400146
上海,third_num,1991,309.0700073
上海,tGDP,1991,893.7700195
香港,first_num,1991,0
香港,second_num,1991,0
香港,third_num,1991,0
香港,tGDP,1991,0
澳门,first_num,1991,0
澳门,second_num,1991,0
澳门,third_num,1991,0
澳门,tGDP,1991,0
中国,first_num,1991,5288.799805
中国,second_num,1991,9129.799805
中国,third_num,1991,7587
中国,tGDP,1991,22005.59961
新疆,first_num,1992,114.5
新疆,second_num,1992,147.6399994
新疆,third_num,1992,140.1699982
新疆,tGDP,1992,402.3099976
西藏,first_num,1992,16.59000015
西藏,second_num,1992,4.460000038
西藏,third_num,1992,12.23999977
西藏,tGDP,1992,33.29000092
内蒙古,first_num,1992,126.8600006
内蒙古,second_num,1992,152.5599976
内蒙古,third_num,1992,142.2599945
内蒙古,tGDP,1992,421.6799927
青海,first_num,1992,19.89999962
青海,second_num,1992,36.31000137
青海,third_num,1992,31.30999947
青海,tGDP,1992,87.51999664
四川,first_num,1992,372.0400085
四川,second_num,1992,441.5700073
四川,third_num,1992,363.6600037
四川,tGDP,1992,1624.51001
黑龙江,first_num,1992,167
黑龙江,second_num,1992,493.1000061
黑龙江,third_num,1992,299.6000061
黑龙江,tGDP,1992,864.039978
甘肃,first_num,1992,74.19999695
甘肃,second_num,1992,128.6600037
甘肃,third_num,1992,114.9300003
甘肃,tGDP,1992,317.7900085
云南,first_num,1992,186.8000031
云南,second_num,1992,219.0299988
云南,third_num,1992,212.8600006
云南,tGDP,1992,618.6900024
广西,first_num,1992,233.0299988
广西,second_num,1992,187.4799957
广西,third_num,1992,226.0899963
广西,tGDP,1992,646.5999756
湖南,first_num,1992,323.9100037
湖南,second_num,1992,341.730011
湖南,third_num,1992,321.3399963
湖南,tGDP,1992,997.7000122
陕西,first_num,1992,116.7099991
陕西,second_num,1992,232.0700073
陕西,third_num,1992,182.8500061
陕西,tGDP,1992,540.5200195
广东,first_num,1992,465.8299866
广东,second_num,1992,1100.319946
广东,third_num,1992,881.3900146
广东,tGDP,1992,2293.540039
吉林,first_num,1992,130.8200073
吉林,second_num,1992,257.0100098
吉林,third_num,1992,170.2299957
吉林,tGDP,1992,558.0599976
河北,first_num,1992,257.0799866
河北,second_num,1992,573.1500244
河北,third_num,1992,448.269989
河北,tGDP,1992,1278.5
湖北,first_num,1992,303
湖北,second_num,1992,444.6099854
湖北,third_num,1992,340.7799988
湖北,tGDP,1992,1088.390015
贵州,first_num,1992,121.1800003
贵州,second_num,1992,122.0800018
贵州,third_num,1992,96.65000153
贵州,tGDP,1992,339.9100037
山东,first_num,1992,534.6199951
山东,second_num,1992,999.1099854
山东,third_num,1992,662.7999878
山东,tGDP,1992,2196.530029
江西,first_num,1992,200.8099976
江西,second_num,1992,199.3999939
江西,third_num,1992,172.3399963
江西,tGDP,1992,572.5499878
河南,first_num,1992,353.9200134
河南,second_num,1992,545.210022
河南,third_num,1992,380.6199951
河南,tGDP,1992,1279.75
辽宁,first_num,1992,194.6000061
辽宁,second_num,1992,741.9000244
辽宁,third_num,1992,536.5
辽宁,tGDP,1992,1472.949951
山西,first_num,1992,82.94000244
山西,second_num,1992,270.2799988
山西,third_num,1992,197.8999939
山西,tGDP,1992,570
安徽,first_num,1992,230.5
安徽,second_num,1992,333
安徽,third_num,1992,237.6999969
安徽,tGDP,1992,801.1599731
福建,first_num,1992,194.8699951
福建,second_num,1992,291.6000061
福建,third_num,1992,298.2099915
福建,tGDP,1992,787.710022
浙江,first_num,1992,262.6700134
浙江,second_num,1992,653.4299927
浙江,third_num,1992,459.6000061
浙江,tGDP,1992,1365.060059
江苏,first_num,1992,393.8200073
江苏,second_num,1992,1119.26001
江苏,third_num,1992,622.9400024
江苏,tGDP,1992,2136.02002
重庆,first_num,1992,117.2799988
重庆,second_num,1992,164.5800018
重庆,third_num,1992,138.3200073
重庆,tGDP,1992,461.3200073
宁夏,first_num,1992,18.30999947
宁夏,second_num,1992,34.04999924
宁夏,third_num,1992,30.78000069
宁夏,tGDP,1992,83.13999939
海南,first_num,1992,53.59000015
海南,second_num,1992,38.27000046
海南,third_num,1992,93.05999756
海南,tGDP,1992,181.7100067
台湾,first_num,1992,0
台湾,second_num,1992,0
台湾,third_num,1992,0
台湾,tGDP,1992,0
北京,first_num,1992,48.66999817
北京,second_num,1992,345.9100037
北京,third_num,1992,314.519989
北京,tGDP,1992,709.0999756
天津,first_num,1992,30.26000023
天津,second_num,1992,233.4100037
天津,third_num,1992,147.3699951
天津,tGDP,1992,411.2399902
上海,first_num,1992,34.15999985
上海,second_num,1992,677.3900146
上海,third_num,1992,402.769989
上海,tGDP,1992,1114.319946
香港,first_num,1992,0
香港,second_num,1992,0
香港,third_num,1992,0
香港,tGDP,1992,0
澳门,first_num,1992,0
澳门,second_num,1992,0
澳门,third_num,1992,0
澳门,tGDP,1992,0
中国,first_num,1992,5800.299805
中国,second_num,1992,11725.2998
中国,third_num,1992,9668.900391
中国,tGDP,1992,27194.5
新疆,first_num,1993,126.8499985
新疆,second_num,1993,205.0700073
新疆,third_num,1993,163.3300018
新疆,tGDP,1993,505.6300049
西藏,first_num,1993,18.29999924
西藏,second_num,1993,5.489999771
